"","X1h_m1_t","X1h_m1_u","X1h_m2_t","X1h_m2_u","X1h_m3_t","X1h_m3_u"
"ENSMUSG00000101618",0,0,0,0,0,0
"ENSMUSG00000099458",0,0,0,0,0,0
"ENSMUSG00000088111",0,0,0,0,0,0
"ENSMUSG00000073722",0,0,0,0,0,0
"ENSMUSG00000095256",0,0,0,0,0,0
"ENSMUSG00000100310",0,0,0,0,0,0
"ENSMUSG00000101514",0,0,0,0,0,0
"ENSMUSG00000101033",0,0,0,0,0,0
"ENSMUSG00000101372",0,0,0,0,0,0
"ENSMUSG00000103241",0,0,0,0,0,0
"ENSMUSG00000086240",3.24431231544121,1.19335769078239,3.21619323904704,0.995115383605851,1.71567204860557,0
"ENSMUSG00000048411",0,0,0,0,0,0
"ENSMUSG00000081557",0,0,0,0,0,0
"ENSMUSG00000058590",0,0,0,0,0,0
"ENSMUSG00000101235",0,0,0,0,0,0
"ENSMUSG00000064433",0,0,0,0,0,0
"ENSMUSG00000080625",0,0,0,0,0,0
"ENSMUSG00000080391",0,0,0,0,0,0
"ENSMUSG00000099257",0,0,0,0,0,0
"ENSMUSG00000099492",2.1628748769608,11.9335769078239,4.82428985857056,0.995115383605851,4.28918012151392,4.36259541874066
"ENSMUSG00000118548",0,0,0,0,0,0
"ENSMUSG00000101726",0,0,0,0,0,0
"ENSMUSG00000096829",0,0,0,0,0,0
"ENSMUSG00000098883",0,0,0,0,0,0
"ENSMUSG00000053185",0,0,0,0,0,0
"ENSMUSG00000100261",5.40718719240201,7.16014614469432,8.84453140737935,1.9902307672117,12.8675403645418,10.9064885468516
"ENSMUSG00000101180",0,0,0.804048309761759,0,0,0
"ENSMUSG00000048874",510.43847096275,482.116507076084,549.969043877043,497.557691802925,502.691910241431,488.610686898953
"ENSMUSG00000103783",14.0586867002452,13.1269345986062,14.4728695757117,5.97069230163511,5.1470161458167,11.9971374015368
"ENSMUSG00000104315",31.3616857159317,46.5409499405131,41.0064637978497,24.8778845901463,41.1761291665336,31.6288167858698
"ENSMUSG00000117310",0,0,0,0,0,0
"ENSMUSG00000026064",15.1401241387256,20.2870807433006,12.0607246464264,5.97069230163511,19.730228558964,13.087786256222
"ENSMUSG00000117091",0,0,0,0,0,0
"ENSMUSG00000086726",0,0,0,0,0,0
"ENSMUSG00000086727",0,0,0,0,0,0
"ENSMUSG00000100237",0,0,0,0,0,0
"ENSMUSG00000098529",0,0,0,0,0,0
"ENSMUSG00000100910",0,0,0,0,0,0
"ENSMUSG00000099796",0,0,0,0,0,0
"ENSMUSG00000050217",0,0,0,0,0,0
"ENSMUSG00000026063",0,0,0,0,0,0
"ENSMUSG00000077664",0,0,0,0,0,0
"ENSMUSG00000100205",0,0,0,0,0,0
"ENSMUSG00000100592",0,0,0,0,0,0
"ENSMUSG00000094215",0,0,0,0,0,0
"ENSMUSG00000101093",0,0,0,0,0,0
